order_month,revenue,month_number,year,month,lag_1,lag_2,lag_3,rolling_mean_3
2016-12-01,10.9,3,2016,12,0.0,49507.66,267.36,16591.673333333336
2017-01-01,120312.87,4,2017,1,10.9,0.0,49507.66,16506.18666666667
2017-02-01,247303.02,5,2017,2,120312.87,10.9,0.0,40107.92333333333
2017-03-01,374344.3,6,2017,3,247303.02,120312.87,10.9,122542.26333333332
2017-04-01,359927.23,7,2017,4,374344.3,247303.02,120312.87,247320.06333333332
2017-05-01,506071.14,8,2017,5,359927.23,374344.3,247303.02,327191.51666666666
2017-06-01,433038.6,9,2017,6,506071.14,359927.23,374344.3,413447.55666666664
2017-07-01,498031.48,10,2017,7,433038.6,506071.14,359927.23,433012.3233333333
2017-08-01,573971.68,11,2017,8,498031.48,433038.6,506071.14,479047.0733333333
2017-09-01,624401.69,12,2017,9,573971.68,498031.48,433038.6,501680.58666666667
2017-10-01,664219.43,13,2017,10,624401.69,573971.68,498031.48,565468.2833333333
2017-11-01,1010271.37,14,2017,11,664219.43,624401.69,573971.68,620864.2666666667
2017-12-01,743914.17,15,2017,12,1010271.37,664219.43,624401.69,766297.4966666667
2018-01-01,950030.36,16,2018,1,743914.17,1010271.37,664219.43,806134.9900000001
2018-02-01,844178.71,17,2018,2,950030.36,743914.17,1010271.37,901405.2999999999
2018-03-01,983213.44,18,2018,3,844178.71,950030.36,743914.17,846041.0800000001
2018-04-01,996647.75,19,2018,4,983213.44,844178.71,950030.36,925807.5033333333
2018-05-01,996517.68,20,2018,5,996647.75,983213.44,844178.71,941346.6333333333
2018-06-01,865124.31,21,2018,6,996517.68,996647.75,983213.44,992126.29
2018-07-01,895507.22,22,2018,7,865124.31,996517.68,996647.75,952763.2466666667
2018-08-01,854686.33,23,2018,8,895507.22,865124.31,996517.68,919049.7366666667
